time_s,gps_x,gps_y,est_x,est_y,heading_deg,cmd_robot
12.643,NaN,NaN,0.000,0.000,0.00,stop
12.693,NaN,NaN,0.000,0.000,0.00,stop
12.743,NaN,NaN,0.000,0.000,0.00,stop
12.793,NaN,NaN,0.000,0.000,0.00,stop
12.843,NaN,NaN,0.000,0.000,0.00,stop
12.893,NaN,NaN,0.000,0.000,0.00,stop
12.943,NaN,NaN,0.000,0.000,0.00,stop
12.993,NaN,NaN,0.000,0.000,0.00,stop
13.043,NaN,NaN,0.000,0.000,0.00,stop
13.093,NaN,NaN,0.000,0.000,0.00,stop
13.143,NaN,NaN,0.000,0.000,0.00,stop
13.193,NaN,NaN,0.000,0.000,0.00,stop
13.243,NaN,NaN,0.000,0.000,0.00,stop
13.293,NaN,NaN,0.000,0.000,0.00,stop
13.343,NaN,NaN,0.000,0.000,0.00,stop
13.393,NaN,NaN,0.000,0.000,0.00,stop
13.443,NaN,NaN,0.000,0.000,0.00,stop
13.493,NaN,NaN,0.000,0.000,0.00,stop
13.543,NaN,NaN,0.000,0.000,0.00,stop
13.593,NaN,NaN,0.000,0.000,0.00,stop
13.643,NaN,NaN,0.000,0.000,0.00,stop
13.693,NaN,NaN,0.000,0.000,0.00,stop
13.743,NaN,NaN,0.000,0.000,0.00,stop
13.793,NaN,NaN,0.000,0.000,0.00,stop
13.843,NaN,NaN,0.000,0.000,0.00,stop
13.893,NaN,NaN,0.000,0.000,0.00,stop
13.943,NaN,NaN,0.000,0.000,0.00,stop
13.993,NaN,NaN,0.000,0.000,0.00,stop
14.043,NaN,NaN,0.000,0.000,0.00,stop
14.093,NaN,NaN,0.000,0.000,0.00,stop
14.143,NaN,NaN,0.000,0.000,0.00,stop
14.193,NaN,NaN,0.000,0.000,0.00,stop
14.243,NaN,NaN,0.000,0.000,0.00,stop
14.293,NaN,NaN,0.000,0.000,0.00,stop
14.343,NaN,NaN,0.000,0.000,0.00,stop
14.393,NaN,NaN,0.000,0.000,0.00,stop
14.443,NaN,NaN,0.000,0.000,0.00,stop
14.493,NaN,NaN,0.000,0.000,0.00,stop
14.543,NaN,NaN,0.000,0.000,0.00,stop
14.593,NaN,NaN,0.000,0.000,0.00,stop
14.643,NaN,NaN,0.000,0.000,0.00,stop
14.693,NaN,NaN,0.000,0.000,0.00,stop
14.743,NaN,NaN,0.000,0.000,0.00,stop
14.793,NaN,NaN,0.000,0.000,0.00,stop
14.843,NaN,NaN,0.000,0.000,0.00,stop
14.893,NaN,NaN,0.000,0.000,0.00,stop
14.943,NaN,NaN,0.000,0.000,0.00,stop
14.993,NaN,NaN,0.000,0.000,0.00,stop
15.043,NaN,NaN,0.000,0.000,0.00,stop
15.093,NaN,NaN,0.000,0.000,0.00,stop
15.143,NaN,NaN,0.000,0.000,0.00,stop
15.193,NaN,NaN,0.000,0.000,0.00,stop
15.243,NaN,NaN,0.000,0.000,0.00,stop
15.293,NaN,NaN,0.000,0.000,0.00,stop
15.343,NaN,NaN,0.000,0.000,0.00,stop
15.393,NaN,NaN,0.000,0.000,0.00,stop
15.443,NaN,NaN,0.000,0.000,0.00,stop
15.493,NaN,NaN,0.000,0.000,0.00,stop
15.543,NaN,NaN,0.000,0.000,0.00,stop
